Symbol,Date,Open,High,Low,Close,Volume
AMZV,13-Dec-2004,10.50,12.00,9.75,9.75,60000
AMZV,14-Dec-2004,9.75,10.00,9.25,10.00,14500
AMZV,15-Dec-2004,10.00,10.05,9.65,9.65,42500
AMZV,16-Dec-2004,10.00,10.00,9.90,9.90,14000
AMZV,17-Dec-2004,9.40,9.40,9.40,9.40,5000
AMZV,20-Dec-2004,9.70,9.70,9.70,9.70,2500
AMZV,21-Dec-2004,9.50,10.20,9.50,10.20,345500
AMZV,23-Dec-2004,10.10,10.10,10.05,10.10,157500
AMZV,24-Dec-2004,9.95,10.00,9.95,10.00,96500
AMZV,27-Dec-2004,9.95,10.00,9.95,10.00,50000
AMZV,29-Dec-2004,9.50,10.00,9.50,10.00,100000
AMZV,30-Dec-2004,9.75,9.75,9.75,9.75,5000
AMZV,03-Jan-2005,9.55,9.55,9.50,9.50,2500
AMZV,05-Jan-2005,9.25,9.25,9.00,9.00,12000
AMZV,06-Jan-2005,9.00,9.25,9.00,9.25,20500
AMZV,07-Jan-2005,8.50,9.25,8.50,9.25,22000
AMZV,10-Jan-2005,9.50,9.50,9.50,9.50,20000
AMZV,11-Jan-2005,9.50,9.50,9.50,9.50,20000
AMZV,12-Jan-2005,9.00,9.00,9.00,9.00,50000
AMZV,14-Jan-2005,9.75,10.10,9.75,10.10,24500
AMZV,17-Jan-2005,9.95,9.95,9.95,9.95,5000
AMZV,18-Jan-2005,9.75,10.35,9.50,9.50,112000
AMZV,19-Jan-2005,9.75,10.00,9.75,10.00,52500
AMZV,24-Jan-2005,9.90,10.00,9.90,10.00,21000
AMZV,25-Jan-2005,10.00,10.00,9.90,9.90,25000
AMZV,26-Jan-2005,9.90,9.95,9.90,9.95,23500
AMZV,27-Jan-2005,9.90,11.40,9.90,10.50,155500
AMZV,28-Jan-2005,10.50,11.45,10.50,10.60,425500
AMZV,31-Jan-2005,10.70,11.20,10.50,11.20,540000
AMZV,01-Feb-2005,11.40,11.45,10.70,10.70,279500
AMZV,02-Feb-2005,10.95,11.40,10.55,11.40,299000
AMZV,03-Feb-2005,11.25,12.90,11.20,12.90,1082500
AMZV,04-Feb-2005,14.40,14.40,14.40,14.40,120000
AMZV,07-Feb-2005,15.90,15.90,15.90,15.90,27000
AMZV,08-Feb-2005,17.40,17.40,17.40,17.40,226500
AMZV,09-Feb-2005,18.90,18.90,16.40,16.40,2123000
AMZV,10-Feb-2005,15.60,17.00,15.40,15.50,276500
AMZV,11-Feb-2005,15.55,17.00,15.00,17.00,611000
AMZV,14-Feb-2005,18.50,18.50,18.50,18.50,142500
AMZV,15-Feb-2005,20.00,20.00,17.60,20.00,1007500
