Symbol,Date,Open,High,Low,Close,Volume
ANL,28-Jan-2003,7.00,7.00,7.00,6.95,1000
ANL,31-Jan-2003,6.00,6.00,6.00,6.00,2000
ANL,07-Feb-2003,5.30,5.30,5.30,5.30,1000
ANL,17-Feb-2003,5.05,5.05,5.05,5.05,2000
ANL,24-Feb-2003,7.20,7.20,7.20,7.20,1000
ANL,25-Feb-2003,7.50,7.50,7.50,7.50,1000
ANL,22-Apr-2003,9.40,9.40,9.40,9.40,500
ANL,23-Apr-2003,9.10,9.10,9.10,9.10,1000
ANL,30-Apr-2003,9.00,9.00,9.00,9.00,5000
ANL,05-May-2003,10.00,10.00,10.00,10.00,2000
ANL,06-May-2003,10.00,10.00,10.00,10.00,5500
ANL,08-May-2003,10.50,10.50,10.50,10.50,500
ANL,09-May-2003,11.60,11.95,11.60,11.95,1000
ANL,12-May-2003,11.40,11.40,11.40,11.40,1000
ANL,19-May-2003,10.85,11.20,10.50,10.50,6000
ANL,20-May-2003,11.25,11.75,11.05,11.75,7500
ANL,21-May-2003,11.75,12.00,11.75,12.00,3000
ANL,22-May-2003,12.00,12.00,12.00,12.00,10000
ANL,23-May-2003,12.00,12.00,11.95,11.95,4500
ANL,26-May-2003,12.00,12.00,12.00,12.00,2500
ANL,27-May-2003,11.80,11.80,11.80,11.80,500
ANL,28-May-2003,11.95,12.05,11.95,12.00,567000
ANL,29-May-2003,12.25,12.45,12.25,12.45,210000
ANL,30-May-2003,12.50,12.75,12.05,12.50,595500
ANL,02-Jun-2003,12.95,12.95,12.45,12.45,224000
ANL,03-Jun-2003,12.80,13.95,12.75,13.95,199500
ANL,04-Jun-2003,14.00,15.45,14.00,15.15,640500
ANL,05-Jun-2003,15.75,16.00,14.50,14.60,342000
ANL,06-Jun-2003,14.90,15.20,14.60,15.15,180000
ANL,09-Jun-2003,15.25,15.50,15.10,15.25,139000
ANL,10-Jun-2003,15.35,15.35,14.80,14.90,26500
ANL,11-Jun-2003,14.50,15.45,14.25,15.00,451500
ANL,12-Jun-2003,15.40,15.75,14.80,15.10,304500
ANL,13-Jun-2003,15.45,15.90,15.35,15.80,1132500
ANL,16-Jun-2003,16.10,17.20,16.10,16.50,1079000
ANL,17-Jun-2003,16.85,17.00,15.90,15.90,251000
ANL,18-Jun-2003,16.25,16.30,15.45,15.45,109500
ANL,19-Jun-2003,15.40,15.50,14.70,15.05,110500
ANL,20-Jun-2003,15.65,15.65,15.00,15.00,43000
ANL,23-Jun-2003,15.45,15.70,15.30,15.50,70000
ANL,24-Jun-2003,15.35,15.90,15.35,15.65,116500
ANL,25-Jun-2003,15.50,15.85,15.50,15.65,83500
ANL,26-Jun-2003,15.90,16.05,15.25,15.65,202500
ANL,27-Jun-2003,15.65,16.00,15.05,15.70,230000
ANL,30-Jun-2003,15.95,16.25,15.55,15.55,139000
ANL,01-Jul-2003,15.95,16.00,15.65,15.75,152500
ANL,02-Jul-2003,15.85,15.95,15.65,15.70,90500
