Symbol,Date,Open,High,Low,Close,Volume
ANNT,16-Feb-2004,3.50,3.50,3.50,3.50,500
ANNT,20-Feb-2004,3.00,3.00,3.00,3.00,500
ANNT,12-Mar-2004,2.75,2.75,2.50,2.50,2000
ANNT,16-Mar-2004,4.00,4.00,3.40,3.40,1500
ANNT,17-Mar-2004,4.50,4.50,4.00,4.00,1500
ANNT,18-Mar-2004,3.80,5.50,3.80,5.50,11000
ANNT,19-Mar-2004,4.50,5.90,4.50,4.50,8500
ANNT,22-Mar-2004,4.60,6.00,4.60,6.00,14000
ANNT,24-Mar-2004,5.15,5.45,5.05,5.05,16000
ANNT,25-Mar-2004,5.30,5.50,5.25,5.50,2500
ANNT,26-Mar-2004,5.00,5.00,5.00,5.00,1000
ANNT,29-Mar-2004,5.05,5.40,5.05,5.40,6000
ANNT,30-Mar-2004,4.55,4.55,4.55,4.55,1000
ANNT,01-Apr-2004,5.70,6.25,5.70,6.25,11000
ANNT,02-Apr-2004,6.85,6.85,6.85,6.85,1000
ANNT,07-Apr-2004,7.30,7.30,7.30,7.30,1000
ANNT,08-Apr-2004,6.35,6.35,6.30,6.30,1500
ANNT,09-Apr-2004,6.05,6.05,6.00,6.00,2500
ANNT,12-Apr-2004,5.10,5.10,5.10,5.10,500
ANNT,20-Apr-2004,5.00,5.00,5.00,5.00,1500
ANNT,24-May-2004,5.95,6.50,5.50,5.75,9000
ANNT,03-Jun-2004,5.50,5.50,5.50,5.50,1000
ANNT,07-Jun-2004,5.00,5.00,5.00,5.00,500
ANNT,08-Jun-2004,5.00,5.00,5.00,5.00,500
ANNT,14-Jun-2004,4.50,4.50,4.50,4.50,1000
ANNT,16-Jun-2004,4.00,4.00,4.00,4.00,500
ANNT,17-Jun-2004,4.75,4.75,4.55,4.55,2500
ANNT,22-Jun-2004,4.30,4.30,4.30,4.30,500
ANNT,23-Jun-2004,4.10,4.10,4.10,4.10,1000
ANNT,24-Jun-2004,4.25,4.50,4.25,4.50,1500
ANNT,05-Jul-2004,5.95,6.00,5.95,6.00,5000
ANNT,23-Aug-2004,5.50,5.50,5.50,5.50,1000
ANNT,26-Aug-2004,5.50,5.50,5.50,5.50,1000
ANNT,20-Oct-2004,6.00,6.00,6.00,6.00,1000
ANNT,21-Oct-2004,5.00,5.00,5.00,5.00,1000
ANNT,30-Nov-2004,4.75,4.75,4.75,4.75,1000
ANNT,21-Dec-2004,6.15,6.15,6.15,6.15,1500
ANNT,27-Oct-2005,4.25,4.25,4.25,4.25,2000
ANNT,17-Nov-2005,3.90,3.90,3.90,3.90,9000
ANNT,26-Dec-2005,4.50,4.50,4.50,4.50,1500
ANNT,15-Mar-2007,3.50,3.75,3.50,3.75,2000
ANNT,03-Dec-2007,3.00,4.00,3.00,4.00,10500
ANNT,04-Dec-2007,4.10,5.00,4.10,5.00,2000
ANNT,05-Dec-2007,6.00,6.00,6.00,6.00,500
ANNT,06-Dec-2007,7.00,7.00,7.00,7.00,500
ANNT,07-Dec-2007,8.00,8.00,8.00,8.00,500
ANNT,11-Dec-2007,9.00,9.00,7.00,8.15,3000
ANNT,12-Dec-2007,7.15,9.15,7.15,9.15,6000
ANNT,13-Dec-2007,10.15,10.15,10.15,10.15,3500
ANNT,14-Dec-2007,11.15,11.15,11.15,11.15,2000
ANNT,17-Dec-2007,12.15,12.15,12.00,12.15,4500
ANNT,18-Dec-2007,13.10,13.15,13.00,13.15,4500
ANNT,19-Dec-2007,14.15,14.15,14.15,14.15,2500
ANNT,24-Dec-2007,15.15,15.15,15.15,15.15,3500
ANNT,26-Dec-2007,16.15,16.15,16.00,16.15,3000
ANNT,27-Dec-2007,17.15,17.15,17.15,17.15,1500
ANNT,31-Dec-2007,17.15,17.15,15.15,16.90,22000
ANNT,01-Jan-2008,15.90,17.90,15.90,17.90,1500
ANNT,03-Jan-2008,16.80,17.00,16.80,16.80,4000
ANNT,04-Jan-2008,15.80,16.95,15.80,16.95,2000
ANNT,08-Jan-2008,15.95,15.95,15.95,15.95,1000
ANNT,09-Jan-2008,14.95,15.95,14.95,15.95,2000
ANNT,10-Jan-2008,16.85,16.85,14.95,16.40,2000
ANNT,14-Jan-2008,15.40,15.90,15.40,15.90,500
ANNT,15-Jan-2008,16.90,16.90,15.80,15.80,500
ANNT,17-Jan-2008,13.80,14.45,13.80,13.80,1500
