Symbol,Date,Open,High,Low,Close,Volume
ANSM,05-Jan-2004,3.00,3.40,3.00,3.40,19500
ANSM,06-Jan-2004,3.00,3.25,3.00,3.25,19000
ANSM,09-Jan-2004,3.00,3.00,3.00,3.00,2000
ANSM,12-Jan-2004,3.70,3.75,3.70,3.75,2000
ANSM,13-Jan-2004,3.10,3.10,3.10,3.10,500
ANSM,15-Jan-2004,3.15,3.15,3.15,3.15,1000
ANSM,16-Jan-2004,3.05,3.25,3.05,3.25,27500
ANSM,19-Jan-2004,3.05,3.25,3.05,3.25,27500
ANSM,20-Jan-2004,3.45,3.45,3.35,3.35,10000
ANSM,21-Jan-2004,3.25,3.25,3.10,3.25,20500
ANSM,22-Jan-2004,3.05,3.50,3.05,3.50,7000
ANSM,23-Jan-2004,3.45,3.60,3.35,3.40,12500
ANSM,27-Jan-2004,3.45,3.45,3.45,3.40,4500
ANSM,28-Jan-2004,3.45,3.45,3.45,3.40,4500
ANSM,29-Jan-2004,3.50,3.50,3.25,3.25,3000
ANSM,06-Feb-2004,4.40,4.90,3.80,3.90,10500
ANSM,09-Feb-2004,4.00,4.40,3.75,4.20,38500
ANSM,10-Feb-2004,4.30,4.40,4.25,4.35,27000
ANSM,11-Feb-2004,4.40,4.50,4.00,4.00,14000
ANSM,12-Feb-2004,4.00,4.20,4.00,4.20,2000
ANSM,16-Feb-2004,3.85,3.85,3.85,3.85,1000
ANSM,17-Feb-2004,3.80,3.80,3.80,3.80,1000
ANSM,18-Feb-2004,3.60,3.60,3.50,3.50,7500
ANSM,19-Feb-2004,3.50,3.50,3.35,3.40,9500
ANSM,27-Feb-2004,3.00,3.05,3.00,3.00,6500
ANSM,03-Mar-2004,3.50,3.50,3.15,3.15,3000
ANSM,04-Mar-2004,3.10,3.10,3.05,3.05,5500
ANSM,05-Mar-2004,3.50,3.50,3.45,3.50,15500
ANSM,08-Mar-2004,3.50,4.20,3.50,4.00,80000
ANSM,09-Mar-2004,4.15,4.50,4.00,4.20,127000
ANSM,10-Mar-2004,4.25,4.25,4.05,4.05,32500
ANSM,11-Mar-2004,4.15,4.25,4.00,4.00,20500
ANSM,12-Mar-2004,4.00,4.20,4.00,4.15,16000
ANSM,15-Mar-2004,3.45,4.35,3.45,4.30,37500
ANSM,16-Mar-2004,4.35,4.75,4.35,4.60,93500
ANSM,17-Mar-2004,4.55,4.70,4.35,4.50,80500
ANSM,18-Mar-2004,4.75,4.90,4.60,4.70,73500
ANSM,19-Mar-2004,4.80,5.00,4.70,5.00,56000
ANSM,22-Mar-2004,5.00,5.00,4.60,4.75,9500
ANSM,24-Mar-2004,4.60,4.80,4.60,4.80,7000
ANSM,25-Mar-2004,4.70,4.90,4.70,4.90,13000
ANSM,26-Mar-2004,4.80,4.90,4.60,4.90,19000
ANSM,29-Mar-2004,4.90,4.90,4.50,4.50,9500
ANSM,30-Mar-2004,4.25,4.25,4.25,4.25,500
ANSM,31-Mar-2004,4.00,4.00,4.00,4.00,500
ANSM,01-Apr-2004,4.00,4.00,4.00,4.00,3500
ANSM,02-Apr-2004,4.35,4.35,4.10,4.35,9500
ANSM,05-Apr-2004,4.10,4.10,4.10,4.10,2500
ANSM,06-Apr-2004,4.25,4.25,4.25,4.25,10000
ANSM,07-Apr-2004,4.30,4.30,4.15,4.15,14500
ANSM,08-Apr-2004,4.10,4.65,4.10,4.65,29500
ANSM,09-Apr-2004,4.75,5.00,4.50,4.70,72000
ANSM,12-Apr-2004,4.75,4.75,4.50,4.60,38000
ANSM,13-Apr-2004,4.80,4.90,4.40,4.40,28000
ANSM,14-Apr-2004,4.75,5.90,4.75,5.90,238000
ANSM,15-Apr-2004,6.00,7.40,6.00,7.40,474000
ANSM,16-Apr-2004,8.05,8.90,7.80,8.90,576000
ANSM,19-Apr-2004,9.15,9.90,8.95,8.95,189000
ANSM,20-Apr-2004,8.00,9.00,8.00,8.85,144000
ANSM,21-Apr-2004,8.95,8.95,8.00,8.35,65000
ANSM,22-Apr-2004,8.10,8.60,8.05,8.50,42500
ANSM,23-Apr-2004,9.00,9.25,8.25,8.25,24000
ANSM,26-Apr-2004,8.65,8.95,8.50,8.50,47000
ANSM,27-Apr-2004,9.00,9.00,8.50,8.50,28500
ANSM,28-Apr-2004,8.00,8.00,7.50,7.50,12000
ANSM,29-Apr-2004,7.05,7.65,7.00,7.40,62500
ANSM,30-Apr-2004,6.40,7.15,6.40,7.15,12500
ANSM,04-May-2004,7.00,7.00,6.90,7.00,8000
ANSM,05-May-2004,6.90,8.00,6.90,8.00,77500
ANSM,06-May-2004,8.45,9.50,8.45,9.00,169500
ANSM,07-May-2004,8.50,9.50,8.50,8.50,32500
ANSM,10-May-2004,8.75,9.75,8.55,8.65,61000
ANSM,11-May-2004,8.90,8.90,8.75,8.75,4500
ANSM,12-May-2004,8.50,8.50,8.00,8.00,12500
ANSM,13-May-2004,8.00,8.00,8.00,8.00,3000
ANSM,14-May-2004,8.00,8.30,8.00,8.30,13000
ANSM,17-May-2004,7.90,8.50,7.90,8.25,19500
ANSM,18-May-2004,8.50,9.30,8.50,9.00,183500
ANSM,19-May-2004,9.00,10.50,9.00,10.25,469500
ANSM,20-May-2004,10.50,10.65,9.50,9.50,91000
ANSM,21-May-2004,9.90,10.30,9.30,9.85,151500
ANSM,24-May-2004,10.50,10.50,9.65,9.80,75500
ANSM,25-May-2004,9.55,9.55,9.05,9.05,33500
ANSM,26-May-2004,9.00,9.15,8.95,9.00,35500
ANSM,28-May-2004,8.30,8.85,8.30,8.70,13000
ANSM,31-May-2004,8.55,10.10,8.55,9.70,180500
ANSM,01-Jun-2004,9.45,9.65,9.10,9.45,20500
ANSM,02-Jun-2004,9.35,9.80,9.35,9.60,31500
ANSM,03-Jun-2004,9.85,10.00,8.65,8.65,39000
ANSM,04-Jun-2004,8.80,9.00,8.80,8.90,16000
ANSM,07-Jun-2004,9.15,9.30,9.00,9.00,27500
ANSM,08-Jun-2004,9.40,9.40,9.00,9.00,2500
ANSM,09-Jun-2004,9.00,9.00,8.75,8.75,21500
ANSM,10-Jun-2004,9.50,9.50,8.70,8.95,13500
ANSM,11-Jun-2004,8.50,8.90,8.50,8.90,9000
ANSM,15-Jun-2004,8.00,8.25,8.00,8.15,3000
ANSM,16-Jun-2004,8.50,8.50,8.40,8.40,5000
ANSM,17-Jun-2004,8.85,8.85,8.65,8.65,17500
ANSM,18-Jun-2004,8.30,8.30,8.30,8.30,5000
ANSM,21-Jun-2004,7.60,7.65,7.45,7.45,10500
ANSM,22-Jun-2004,7.50,7.50,6.50,6.50,19500
ANSM,23-Jun-2004,6.70,6.70,6.10,6.10,23500
ANSM,24-Jun-2004,6.85,6.90,6.75,6.90,7500
ANSM,25-Jun-2004,6.90,7.00,6.50,6.50,44500
ANSM,28-Jun-2004,6.90,7.00,6.90,7.00,12500
ANSM,29-Jun-2004,7.50,7.90,7.25,7.25,3000
ANSM,30-Jun-2004,7.00,7.00,6.70,6.70,9500
ANSM,01-Jul-2004,6.90,7.00,6.90,7.00,3000
