Symbol,Date,Open,High,Low,Close,Volume
ANTM,02-Jan-2003,12.25,13.00,12.25,13.00,14000
ANTM,06-Jan-2003,12.60,12.60,12.60,12.60,2000
ANTM,09-Jan-2003,11.60,11.60,11.60,11.60,4000
ANTM,10-Jan-2003,11.65,11.65,11.50,11.50,2500
ANTM,13-Jan-2003,12.95,12.95,12.95,12.95,500
ANTM,21-Jan-2003,12.00,12.00,12.00,12.00,2000
ANTM,22-Jan-2003,12.00,12.00,12.00,12.00,500
ANTM,24-Jan-2003,11.75,11.75,11.75,11.75,5000
ANTM,27-Jan-2003,11.80,11.80,11.75,11.75,3000
ANTM,25-Feb-2003,11.00,11.00,11.00,11.00,1000
ANTM,12-Mar-2003,11.40,11.40,11.40,11.40,2000
ANTM,18-Mar-2003,12.00,12.25,12.00,12.25,7500
ANTM,27-Mar-2003,12.75,12.75,12.75,12.75,1000
ANTM,28-Mar-2003,12.75,13.90,13.90,13.90,500
ANTM,04-Apr-2003,12.50,12.50,12.00,12.50,2000
ANTM,22-Apr-2003,13.85,13.85,13.85,13.85,2000
ANTM,24-Apr-2003,12.85,12.85,12.85,13.85,500
ANTM,09-May-2003,13.50,13.50,13.50,13.50,5000
ANTM,13-May-2003,13.10,13.10,13.10,13.10,500
ANTM,14-May-2003,12.90,12.90,12.90,12.90,500
ANTM,20-May-2003,13.00,13.00,12.40,12.40,1500
ANTM,21-May-2003,12.85,12.90,12.85,12.90,1500
ANTM,22-May-2003,12.90,12.95,12.90,12.95,2500
ANTM,26-May-2003,13.50,13.50,13.50,13.50,500
ANTM,27-May-2003,13.80,13.80,13.80,13.80,1000
ANTM,28-May-2003,13.80,13.80,13.80,13.80,500
ANTM,02-Jun-2003,12.80,12.80,12.80,12.80,500
ANTM,09-Jun-2003,13.80,14.30,13.80,14.00,5000
ANTM,10-Jun-2003,15.50,15.50,14.05,14.25,22500
ANTM,11-Jun-2003,14.05,14.05,14.05,14.05,500
ANTM,13-Jun-2003,14.50,14.50,14.50,14.50,1000
ANTM,16-Jun-2003,14.90,15.00,14.90,15.00,2500
ANTM,25-Jun-2003,15.40,15.40,15.20,15.20,1000
ANTM,26-Jun-2003,15.00,15.00,15.00,15.00,2500
ANTM,27-Jun-2003,15.50,16.50,15.50,16.00,4000
ANTM,30-Jun-2003,16.40,17.50,16.40,17.50,4000
ANTM,01-Jul-2003,17.00,17.00,17.00,17.00,500
ANTM,02-Jul-2003,17.00,17.00,17.00,17.00,2500
ANTM,03-Jul-2003,17.00,17.00,17.00,17.00,2000
ANTM,04-Jul-2003,17.00,17.00,17.00,17.00,1500
ANTM,25-Jul-2003,17.00,17.00,17.00,17.00,4000
ANTM,28-Jul-2003,16.75,16.75,16.75,16.75,1000
ANTM,29-Jul-2003,17.25,17.30,17.25,17.30,13500
ANTM,30-Jul-2003,17.00,17.70,17.00,17.70,5500
ANTM,31-Jul-2003,17.50,17.50,17.50,17.50,500
ANTM,01-Aug-2003,17.25,17.25,17.25,17.25,5000
ANTM,04-Aug-2003,17.45,17.45,17.45,17.45,500
ANTM,07-Aug-2003,16.75,17.00,16.75,17.00,3500
ANTM,08-Aug-2003,16.50,16.50,16.50,16.50,1500
ANTM,11-Aug-2003,16.50,16.50,16.50,16.50,1000
ANTM,13-Aug-2003,17.50,17.50,16.50,16.50,2500
ANTM,18-Aug-2003,16.50,16.50,16.50,16.50,500
ANTM,19-Aug-2003,16.50,16.50,16.50,16.50,500
ANTM,20-Aug-2003,17.00,17.00,17.00,17.00,500
ANTM,22-Aug-2003,17.00,17.00,17.00,17.00,2500
ANTM,01-Sep-2003,17.00,17.00,17.00,17.00,500
ANTM,02-Sep-2003,17.00,17.00,17.00,17.00,2000
ANTM,05-Sep-2003,16.50,16.50,16.50,16.50,2500
ANTM,25-Sep-2003,17.00,18.00,17.00,18.00,1000
ANTM,26-Sep-2003,18.40,19.50,18.40,19.50,4000
ANTM,12-Nov-2003,15.00,15.00,15.00,15.00,2000
ANTM,01-Dec-2003,14.50,14.50,14.50,14.50,500
ANTM,03-Dec-2003,14.50,14.50,14.50,14.50,500
ANTM,05-Dec-2003,14.25,14.25,14.25,14.25,1000
ANTM,09-Dec-2003,14.70,14.70,14.70,14.70,500
ANTM,15-Dec-2003,14.95,15.90,14.50,14.50,2500
ANTM,23-Dec-2003,14.50,15.00,14.50,15.00,1000
ANTM,08-Jan-2004,14.70,14.75,14.70,14.75,1500
ANTM,09-Feb-2004,16.25,16.25,16.25,16.25,1000
ANTM,18-Feb-2004,16.25,16.25,16.25,16.25,1000
ANTM,19-Feb-2004,16.00,16.50,16.00,16.50,2500
ANTM,03-Mar-2004,17.00,17.00,17.00,17.00,5000
ANTM,22-Mar-2004,18.00,18.00,18.00,18.00,500
ANTM,01-Apr-2004,17.25,17.25,17.25,17.25,9500
ANTM,05-Apr-2004,17.50,17.50,17.50,17.50,1500
ANTM,09-Apr-2004,16.60,16.60,16.60,16.60,1000
ANTM,12-Apr-2004,17.50,17.90,17.50,17.90,1500
ANTM,23-Apr-2004,17.10,17.10,17.10,17.10,2000
ANTM,26-Apr-2004,17.50,18.00,17.50,17.50,25000
ANTM,05-May-2004,16.90,16.90,16.90,16.90,500
ANTM,24-May-2004,17.00,17.00,17.00,17.00,500
ANTM,25-May-2004,18.45,18.75,18.45,18.75,2000
ANTM,26-May-2004,19.80,19.95,19.80,19.95,2000
ANTM,27-May-2004,20.50,20.50,20.25,20.25,5000
ANTM,28-May-2004,20.25,20.25,20.25,20.25,19500
ANTM,01-Jun-2004,20.50,21.50,20.50,21.50,1500
ANTM,02-Jun-2004,22.50,22.95,22.00,22.00,2000
ANTM,28-Jun-2004,21.00,21.00,21.00,21.00,500
ANTM,23-Jul-2004,22.00,22.00,22.00,22.00,500
ANTM,26-Jul-2004,21.25,21.25,21.00,21.00,2000
ANTM,27-Jul-2004,20.00,20.00,20.00,20.00,1000
ANTM,28-Jul-2004,19.25,19.25,19.00,19.00,1000
ANTM,29-Jul-2004,18.25,18.25,18.00,18.00,1500
ANTM,05-Aug-2004,17.50,17.50,17.50,18.00,195000
ANTM,11-Aug-2004,17.50,17.50,17.50,17.50,500
ANTM,12-Aug-2004,17.00,17.00,17.00,17.00,1500
ANTM,02-Sep-2004,16.90,16.90,16.90,16.90,500
ANTM,04-Oct-2004,16.90,16.90,16.90,16.90,2500
ANTM,28-Oct-2004,17.50,17.50,17.50,17.50,500
ANTM,01-Nov-2004,17.35,17.50,17.30,17.50,3500
ANTM,19-Nov-2004,18.50,18.90,18.50,18.90,1000
ANTM,23-Nov-2004,19.00,19.00,19.00,19.00,1000
ANTM,25-Nov-2004,19.55,20.00,19.55,20.00,2500
ANTM,26-Nov-2004,20.00,20.00,20.00,20.00,500
ANTM,30-Nov-2004,20.10,20.10,20.05,20.05,2000
ANTM,01-Dec-2004,19.50,20.00,19.50,20.00,3500
ANTM,02-Dec-2004,19.50,19.50,19.00,19.00,4500
ANTM,03-Dec-2004,18.00,18.90,18.00,18.00,5000
ANTM,06-Dec-2004,17.15,17.50,17.15,17.15,2500
ANTM,08-Dec-2004,17.05,17.05,17.00,17.00,1500
ANTM,09-Dec-2004,17.00,17.00,17.00,17.00,500
ANTM,13-Dec-2004,18.50,18.50,18.50,18.50,2000
ANTM,14-Dec-2004,19.25,19.25,19.25,19.25,1000
ANTM,24-Dec-2004,18.50,18.50,18.50,18.50,4500
ANTM,28-Dec-2004,19.90,20.10,19.90,20.10,4500
ANTM,29-Dec-2004,20.00,20.00,20.00,20.00,1000
ANTM,30-Dec-2004,20.45,20.75,20.45,20.75,4500
ANTM,03-Jan-2005,20.25,20.25,20.25,20.25,500
ANTM,04-Jan-2005,21.25,21.75,21.25,21.75,4000
ANTM,06-Jan-2005,23.00,23.35,23.00,23.00,3000
ANTM,07-Jan-2005,23.30,23.30,23.00,23.00,2500
ANTM,10-Jan-2005,23.75,24.40,23.50,24.40,2500
ANTM,11-Jan-2005,25.25,25.25,25.25,25.25,500
ANTM,12-Jan-2005,24.50,24.50,24.50,24.50,1000
ANTM,17-Jan-2005,23.30,23.30,23.30,23.30,500
