Symbol,Date,Open,High,Low,Close,Volume
APL,07-Mar-2005,200.50,240.00,200.00,214.10,1674000
APL,08-Mar-2005,218.00,219.70,205.00,208.00,1193200
APL,09-Mar-2005,210.50,218.00,209.00,212.00,831900
APL,10-Mar-2005,217.00,220.00,208.10,208.10,435900
APL,11-Mar-2005,212.00,213.00,206.00,207.00,207200
APL,14-Mar-2005,208.10,211.40,205.00,205.00,234900
APL,15-Mar-2005,205.50,206.95,194.75,194.75,180800
APL,16-Mar-2005,188.00,190.00,185.05,185.05,270400
APL,17-Mar-2005,175.80,175.80,175.80,175.80,48300
APL,18-Mar-2005,167.05,169.90,167.05,167.05,77600
APL,21-Mar-2005,158.70,158.70,158.70,158.70,5600
APL,22-Mar-2005,150.80,150.80,150.80,150.80,6200
APL,24-Mar-2005,143.30,143.30,143.30,143.30,2800
APL,25-Mar-2005,136.15,136.15,136.15,136.15,3200
APL,28-Mar-2005,136.15,136.15,129.35,129.35,269800
APL,29-Mar-2005,122.90,135.90,122.90,132.50,343000
APL,30-Mar-2005,140.10,142.40,140.10,142.40,221900
APL,31-Mar-2005,153.00,153.05,135.30,135.30,451700
APL,01-Apr-2005,128.55,134.90,128.55,132.10,179000
APL,04-Apr-2005,137.00,142.00,135.10,142.00,202700
APL,05-Apr-2005,148.00,152.65,140.50,146.45,527100
APL,06-Apr-2005,145.90,157.40,142.50,157.40,747700
APL,07-Apr-2005,160.00,169.00,158.00,167.50,932300
APL,08-Apr-2005,169.80,169.90,159.15,159.90,520900
APL,11-Apr-2005,161.00,163.40,151.95,151.95,224200
APL,12-Apr-2005,144.40,144.40,144.40,144.40,4300
APL,13-Apr-2005,137.20,148.50,137.20,144.90,662000
APL,14-Apr-2005,147.00,147.00,138.00,142.65,323200
APL,15-Apr-2005,144.50,146.85,141.10,144.65,256300
APL,18-Apr-2005,144.00,144.00,138.30,139.00,211400
APL,19-Apr-2005,136.00,139.70,132.05,132.05,148800
APL,20-Apr-2005,130.85,132.90,125.45,128.50,341100
APL,21-Apr-2005,130.80,136.00,128.00,130.50,356700
APL,25-Apr-2005,130.50,134.80,125.25,125.30,234000
APL,26-Apr-2005,126.00,126.00,121.05,123.75,230700
APL,27-Apr-2005,123.15,125.50,122.00,123.50,207400
APL,28-Apr-2005,124.00,124.00,119.55,119.60,109300
APL,29-Apr-2005,117.50,119.50,113.65,115.45,215100
APL,02-May-2005,114.50,117.80,109.70,109.95,257600
APL,03-May-2005,110.00,113.45,105.00,112.60,550400
APL,04-May-2005,115.00,118.20,111.95,118.20,621100
APL,05-May-2005,120.00,124.10,119.00,124.10,415000
APL,06-May-2005,130.00,130.30,128.60,130.30,143500
APL,09-May-2005,135.00,136.80,132.50,136.80,406900
APL,10-May-2005,142.00,143.50,137.00,140.85,998500
APL,11-May-2005,139.95,142.90,133.85,135.70,690800
APL,12-May-2005,137.10,137.90,128.95,128.95,452700
APL,13-May-2005,125.30,132.00,125.30,129.00,337800
APL,16-May-2005,131.00,131.00,123.75,125.80,236400
APL,17-May-2005,125.00,127.65,124.80,126.05,189600
APL,18-May-2005,128.45,128.45,123.50,124.70,163700
APL,19-May-2005,125.95,126.20,122.00,122.00,189500
APL,20-May-2005,121.05,121.25,117.00,117.25,196100
APL,23-May-2005,114.00,114.00,111.40,111.40,97300
APL,24-May-2005,106.00,116.95,106.00,116.95,405600
APL,25-May-2005,116.95,122.75,116.95,121.45,524000
APL,26-May-2005,121.50,126.00,115.40,115.40,551000
APL,27-May-2005,114.50,119.40,111.50,116.00,614200
APL,30-May-2005,116.80,121.80,116.00,121.80,494700
APL,31-May-2005,124.00,127.85,123.10,127.85,781800
APL,01-Jun-2005,134.20,134.20,131.50,134.20,440300
APL,02-Jun-2005,140.90,140.90,140.90,140.90,107100
APL,03-Jun-2005,147.00,147.00,134.00,134.25,1371500
APL,06-Jun-2005,127.55,134.90,127.55,132.00,672400
APL,07-Jun-2005,138.60,138.60,137.10,138.60,404900
APL,08-Jun-2005,139.00,145.00,135.00,138.40,1264600
APL,09-Jun-2005,140.00,142.50,137.05,137.80,615400
APL,10-Jun-2005,137.05,138.95,135.10,136.50,344400
APL,13-Jun-2005,139.00,140.00,137.60,138.00,369000
APL,14-Jun-2005,138.40,138.40,135.10,135.70,228400
APL,15-Jun-2005,136.35,137.90,135.55,136.30,234200
APL,16-Jun-2005,136.50,143.10,135.00,140.00,1858400
APL,17-Jun-2005,141.50,147.00,139.10,147.00,2731300
APL,20-Jun-2005,154.00,154.35,151.00,154.35,880600
APL,21-Jun-2005,157.30,162.05,150.60,160.70,3708900
APL,22-Jun-2005,161.25,167.25,155.50,159.20,6718200
APL,23-Jun-2005,159.15,160.75,153.25,156.50,3794300
APL,24-Jun-2005,158.00,160.50,154.85,155.45,1993600
APL,27-Jun-2005,156.50,159.90,152.50,156.50,2828900
APL,28-Jun-2005,156.90,163.00,156.90,159.85,3004800
APL,29-Jun-2005,160.50,162.40,158.80,159.50,2058000
APL,30-Jun-2005,160.25,161.40,158.00,158.00,1024100
APL,01-Jul-2005,159.50,161.45,158.50,159.00,1226000
APL,04-Jul-2005,159.80,161.00,158.50,158.85,559400
APL,05-Jul-2005,158.95,160.65,158.50,159.40,905100
APL,06-Jul-2005,159.00,161.85,158.80,160.20,1368000
APL,07-Jul-2005,162.25,168.20,162.25,168.20,2443600
APL,08-Jul-2005,170.00,176.60,170.00,176.60,2457100
APL,11-Jul-2005,182.25,182.80,172.50,175.00,3926000
APL,12-Jul-2005,177.00,178.25,170.00,171.45,1563300
APL,13-Jul-2005,173.70,174.50,171.00,172.00,1062400
APL,14-Jul-2005,172.50,174.00,170.00,170.70,431000
APL,15-Jul-2005,172.00,173.75,169.15,171.90,664000
APL,18-Jul-2005,171.10,172.00,167.15,168.00,420200
APL,19-Jul-2005,167.55,167.60,159.60,162.25,877100
APL,20-Jul-2005,162.05,166.40,162.00,166.40,787000
APL,21-Jul-2005,167.00,169.00,164.50,165.50,997200
APL,22-Jul-2005,165.10,166.60,163.00,164.05,311400
APL,25-Jul-2005,165.75,165.80,161.30,161.90,288300
APL,26-Jul-2005,161.50,161.90,159.85,160.05,225700
APL,27-Jul-2005,160.50,160.50,157.50,157.50,147400
APL,28-Jul-2005,157.55,161.80,153.00,154.40,556500
APL,29-Jul-2005,156.50,156.50,152.30,154.50,597100
APL,01-Aug-2005,157.00,158.00,155.30,156.00,341100
APL,02-Aug-2005,156.10,158.65,155.50,157.80,578600
APL,03-Aug-2005,158.65,165.65,157.60,165.65,1712500
APL,04-Aug-2005,166.50,171.95,164.25,167.00,3162300
APL,05-Aug-2005,163.00,169.50,159.55,165.00,1448500
APL,08-Aug-2005,167.00,170.60,167.00,168.70,2186700
APL,09-Aug-2005,168.50,170.25,165.00,165.00,1241500
APL,10-Aug-2005,166.50,166.90,156.90,158.65,978400
APL,11-Aug-2005,158.50,160.00,152.95,156.00,1133400
APL,12-Aug-2005,157.00,163.70,154.00,162.70,1329800
APL,15-Aug-2005,163.50,167.80,161.10,164.50,2690400
APL,16-Aug-2005,163.80,165.50,162.60,163.65,824900
APL,17-Aug-2005,164.00,165.95,163.30,163.70,1008400
APL,19-Aug-2005,165.90,169.00,165.05,166.00,2256100
APL,22-Aug-2005,171.45,172.70,168.55,171.50,2802300
APL,23-Aug-2005,171.95,179.95,170.70,177.50,4849000
APL,24-Aug-2005,177.80,180.45,175.00,177.40,3108200
APL,25-Aug-2005,178.40,180.40,177.25,178.00,2608200
APL,26-Aug-2005,178.00,179.00,177.60,178.20,757400
APL,29-Aug-2005,178.80,183.45,178.05,183.35,2686700
APL,30-Aug-2005,184.30,190.20,182.70,188.70,3891600
APL,31-Aug-2005,191.00,196.25,190.50,196.25,4525200
APL,01-Sep-2005,198.90,199.80,192.00,195.00,3673200
APL,02-Sep-2005,194.20,199.00,185.30,190.80,3717300
APL,05-Sep-2005,191.50,193.50,185.00,185.70,1775000
APL,06-Sep-2005,184.70,185.50,176.50,176.50,1705900
APL,07-Sep-2005,175.00,179.50,175.00,176.50,1082800
APL,08-Sep-2005,177.50,179.45,176.50,178.90,1028700
APL,09-Sep-2005,179.40,185.90,179.35,183.70,1514500
APL,12-Sep-2005,178.05,181.65,175.00,177.00,1024500
APL,13-Sep-2005,173.50,179.85,173.00,178.40,930400
APL,14-Sep-2005,178.90,181.55,178.55,178.65,868300
APL,15-Sep-2005,179.05,180.95,177.50,178.00,470100
APL,16-Sep-2005,178.50,179.45,175.25,177.00,455400
APL,19-Sep-2005,178.25,178.25,175.15,177.00,323800
APL,20-Sep-2005,178.50,178.75,176.00,176.50,170000
APL,21-Sep-2005,177.25,182.10,176.50,181.55,966400
APL,22-Sep-2005,182.50,184.80,179.15,180.00,829500
APL,23-Sep-2005,180.05,182.25,178.00,179.20,333900
APL,26-Sep-2005,180.00,181.00,178.15,179.00,294800
APL,27-Sep-2005,180.25,180.45,177.80,178.00,160100
APL,28-Sep-2005,178.00,179.25,177.05,178.40,224000
