Symbol,Date,Open,High,Low,Close,Volume
APOT,12-Jan-2004,7.50,7.50,7.50,7.50,500
APOT,15-Jan-2004,8.00,8.00,8.00,8.00,500
APOT,12-Feb-2004,8.25,8.25,8.25,8.25,1000
APOT,13-Feb-2004,7.55,7.55,7.55,7.55,500
APOT,18-Feb-2004,8.05,9.55,8.05,9.55,2500
APOT,19-Feb-2004,10.00,10.00,10.00,10.00,500
APOT,20-Feb-2004,10.50,10.50,10.50,10.50,500
APOT,24-Feb-2004,10.05,10.05,10.05,10.05,500
APOT,25-Feb-2004,9.55,10.45,9.55,10.45,1500
APOT,27-Feb-2004,10.10,10.25,10.10,10.25,3500
APOT,08-Mar-2004,10.75,10.75,10.75,10.75,500
APOT,09-Mar-2004,10.75,10.75,10.75,10.75,500
APOT,12-Mar-2004,11.75,12.00,10.80,10.80,7000
APOT,15-Mar-2004,11.50,12.30,11.50,11.50,7500
APOT,16-Mar-2004,11.10,11.25,11.10,11.25,1000
APOT,18-Mar-2004,11.50,11.50,11.20,11.20,2000
APOT,19-Mar-2004,11.00,11.30,11.00,11.30,4500
APOT,22-Mar-2004,11.20,11.95,11.20,11.25,3000
APOT,24-Mar-2004,11.00,11.00,11.00,11.00,500
APOT,31-Mar-2004,11.50,11.50,11.50,11.50,1000
APOT,13-Apr-2004,10.75,10.75,10.75,10.75,500
APOT,16-Apr-2004,11.95,11.95,11.15,11.15,3000
APOT,05-May-2004,10.40,10.40,10.40,10.40,500
APOT,10-May-2004,11.00,11.00,11.00,11.00,4500
APOT,12-May-2004,10.00,11.00,10.00,11.00,1500
APOT,20-May-2004,12.00,12.00,12.00,12.00,500
APOT,28-May-2004,12.05,12.85,12.05,12.85,13000
APOT,11-Jun-2004,11.55,11.55,11.55,11.55,500
APOT,16-Jun-2004,11.80,11.95,11.80,11.95,3000
APOT,18-Jun-2004,12.50,12.50,12.00,12.00,2500
APOT,22-Jun-2004,12.00,12.00,12.00,12.00,500
APOT,23-Jun-2004,12.05,12.10,12.05,12.05,6500
APOT,24-Jun-2004,12.00,12.00,12.00,12.00,2000
APOT,28-Jun-2004,12.00,12.50,12.00,12.50,2000
APOT,14-Jul-2004,12.00,12.00,12.00,12.00,1000
APOT,16-Jul-2004,12.00,12.00,12.00,12.00,1000
APOT,28-Jul-2004,12.00,12.00,12.00,12.00,500
APOT,02-Aug-2004,12.00,12.00,12.00,12.00,500
APOT,26-Aug-2004,11.90,12.00,11.90,12.00,5500
APOT,27-Aug-2004,12.00,12.00,12.00,12.00,500
APOT,31-Aug-2004,12.00,12.00,12.00,12.00,500
APOT,22-Sep-2004,12.00,12.00,12.00,12.00,5000
APOT,14-Oct-2004,12.00,12.00,12.00,12.00,1000
APOT,20-Oct-2004,13.40,13.40,13.40,13.40,500
APOT,22-Oct-2004,12.90,12.90,12.90,12.90,1000
APOT,29-Nov-2004,12.30,12.30,12.30,12.30,1000
APOT,30-Nov-2004,12.30,12.30,12.30,12.30,1000
APOT,03-Dec-2004,12.60,12.60,12.60,12.60,6000
APOT,07-Dec-2004,12.45,12.50,12.45,12.50,1000
APOT,14-Dec-2004,12.00,12.00,12.00,12.00,1000
APOT,15-Dec-2004,12.50,12.50,12.50,12.50,3500
APOT,16-Dec-2004,12.75,12.95,12.70,12.70,4000
APOT,17-Dec-2004,12.05,12.40,12.05,12.40,3000
APOT,21-Dec-2004,12.50,12.50,12.50,12.50,1000
APOT,29-Dec-2004,13.00,13.00,13.00,13.00,1500
APOT,30-Dec-2004,13.75,13.75,13.75,13.75,1000
APOT,03-Jan-2005,14.75,15.25,14.75,15.25,6500
APOT,04-Jan-2005,16.00,16.25,16.00,16.25,1000
APOT,05-Jan-2005,16.00,16.00,16.00,16.00,1000
APOT,06-Jan-2005,16.80,17.45,16.80,17.45,4000
APOT,07-Jan-2005,18.75,18.75,18.00,18.45,11000
APOT,10-Jan-2005,19.70,19.70,18.40,18.40,6000
APOT,11-Jan-2005,18.50,18.50,18.50,18.50,1000
APOT,12-Jan-2005,17.50,17.50,17.50,17.50,500
APOT,27-Jan-2005,16.75,17.00,16.75,17.00,3000
APOT,31-Jan-2005,17.75,18.50,17.75,18.50,4500
APOT,01-Feb-2005,19.50,19.95,19.50,19.95,2500
APOT,02-Feb-2005,21.50,21.50,21.50,21.50,1000
APOT,03-Feb-2005,22.00,23.10,22.00,23.10,8500
APOT,04-Feb-2005,24.75,24.80,23.25,24.00,8500
APOT,08-Feb-2005,25.80,25.80,25.80,25.80,1000
APOT,09-Feb-2005,23.30,23.30,23.30,23.30,2000
APOT,11-Feb-2005,22.50,22.50,22.50,22.50,500
APOT,14-Feb-2005,21.50,21.50,21.50,21.50,500
APOT,15-Feb-2005,21.50,21.50,21.50,21.50,500
APOT,23-Feb-2005,22.50,22.50,22.50,22.50,1000
APOT,24-Feb-2005,21.40,21.40,21.40,21.40,1000
APOT,25-Feb-2005,20.50,20.50,20.50,20.50,1000
APOT,01-Mar-2005,20.50,21.80,20.00,21.80,82000
APOT,02-Mar-2005,20.80,20.80,20.75,20.75,2000
APOT,03-Mar-2005,21.95,22.15,21.90,22.15,34000
APOT,15-Mar-2005,21.10,21.10,21.10,21.10,500
APOT,16-Mar-2005,22.45,22.65,20.05,22.65,41000
APOT,17-Mar-2005,21.60,22.95,21.60,22.95,34000
APOT,21-Mar-2005,22.00,22.00,22.00,22.00,2500
APOT,22-Mar-2005,22.40,22.50,20.90,20.90,1500
APOT,24-Mar-2005,20.00,20.00,20.00,20.00,500
APOT,25-Mar-2005,20.50,22.00,20.50,21.00,22500
APOT,28-Mar-2005,22.00,22.55,22.00,22.55,3000
APOT,30-Mar-2005,24.00,24.20,24.00,24.20,6500
APOT,31-Mar-2005,23.05,23.05,23.00,23.00,5500
APOT,05-Apr-2005,24.70,24.70,24.70,24.70,5000
APOT,07-Apr-2005,23.55,24.05,23.55,24.05,1000
APOT,11-Apr-2005,24.50,25.85,24.50,25.85,1000
APOT,13-Apr-2005,27.45,27.75,27.45,27.75,3000
APOT,19-Apr-2005,26.05,26.05,26.05,26.05,500
APOT,26-Apr-2005,26.55,26.55,24.75,24.75,1000
APOT,27-Apr-2005,23.55,23.55,23.55,23.55,1000
APOT,28-Apr-2005,23.55,23.55,22.40,22.40,1500
APOT,29-Apr-2005,21.35,21.35,21.30,21.30,1500
APOT,04-May-2005,20.50,20.50,20.25,20.25,2500
APOT,12-May-2005,19.25,19.25,19.25,19.25,500
APOT,13-May-2005,18.25,18.25,18.25,18.25,500
APOT,16-May-2005,17.55,17.55,17.55,17.55,1000
APOT,20-May-2005,20.55,20.55,20.55,20.55,1000
APOT,25-May-2005,19.60,19.60,19.60,19.60,500
APOT,26-May-2005,20.00,20.00,20.00,20.00,500
APOT,31-May-2005,19.00,19.00,19.00,19.00,500
APOT,06-Jun-2005,18.25,18.25,18.25,18.25,500
APOT,10-Jun-2005,18.30,18.30,18.30,18.30,500
APOT,14-Jun-2005,17.60,17.60,17.60,17.60,500
APOT,21-Jun-2005,17.75,17.75,17.75,17.75,500
APOT,22-Jun-2005,18.00,18.00,18.00,18.00,1000
APOT,28-Jun-2005,19.00,19.00,19.00,19.00,500
APOT,04-Jul-2005,20.00,20.00,20.00,20.00,500
APOT,15-Jul-2005,22.10,22.10,22.10,22.10,1000
APOT,21-Jul-2005,25.55,25.55,25.55,25.55,500
APOT,22-Jul-2005,25.75,26.80,25.75,26.80,2500
APOT,25-Jul-2005,27.75,28.10,27.75,28.10,2000
APOT,27-Jul-2005,28.00,28.00,28.00,28.00,1000
APOT,29-Jul-2005,28.10,28.10,28.10,28.10,500
APOT,03-Aug-2005,27.50,27.50,27.50,27.50,500
APOT,25-Aug-2005,26.25,26.25,26.25,26.25,1000
APOT,29-Nov-2005,22.70,22.70,22.70,22.70,500
APOT,01-Dec-2005,21.60,21.60,21.60,21.60,500
APOT,02-Dec-2005,21.05,21.05,21.05,21.05,1000
APOT,05-Dec-2005,20.00,20.00,20.00,20.00,500
APOT,06-Dec-2005,19.00,19.00,19.00,19.00,1500
APOT,07-Dec-2005,20.00,20.00,20.00,20.00,1000
APOT,13-Dec-2005,19.00,19.00,19.00,19.00,1000
APOT,14-Dec-2005,18.00,18.00,18.00,18.00,500
APOT,16-Feb-2006,19.00,19.00,19.00,19.00,3500
APOT,22-Feb-2006,18.00,18.00,18.00,18.00,1500
APOT,22-Mar-2006,20.00,20.00,20.00,20.00,1000
APOT,24-Mar-2006,21.00,21.00,21.00,21.00,500
APOT,27-Mar-2006,22.05,22.05,22.05,22.05,500
APOT,29-Mar-2006,24.30,24.30,24.30,24.30,500
APOT,31-Mar-2006,26.30,26.30,25.00,25.00,2000
APOT,04-Apr-2006,26.25,26.25,26.25,26.25,500
APOT,17-Apr-2006,24.20,24.20,24.20,24.20,500
APOT,18-Apr-2006,23.00,23.00,23.00,23.00,1000
APOT,19-Apr-2006,21.85,21.85,21.05,21.05,2000
APOT,21-Apr-2006,22.95,23.20,21.00,21.00,2000
APOT,24-Apr-2006,22.00,22.00,22.00,22.00,500
APOT,26-Apr-2006,23.00,23.10,23.00,23.10,2500
APOT,28-Apr-2006,22.45,22.45,22.45,22.45,1000
APOT,03-May-2006,22.80,22.80,22.00,22.00,1500
APOT,04-May-2006,22.00,22.75,22.00,22.75,2000
APOT,05-May-2006,23.85,23.85,23.85,23.85,3000
APOT,11-May-2006,22.70,22.70,22.70,22.70,3000
APOT,18-May-2006,21.60,21.60,21.60,21.60,2500
APOT,22-May-2006,20.55,20.55,20.55,20.55,500
APOT,31-May-2006,21.00,21.00,21.00,21.00,5000
APOT,20-Jun-2006,22.00,22.00,20.05,20.05,2500
APOT,30-Jun-2006,20.90,20.90,20.90,20.90,1500
APOT,17-Jul-2006,20.00,20.00,20.00,20.00,1000
APOT,26-Sep-2006,17.00,17.00,17.00,17.00,1000
APOT,11-Oct-2006,17.00,17.00,17.00,17.00,500
APOT,17-Oct-2006,18.00,18.00,18.00,18.00,500
APOT,16-Jan-2007,18.20,18.20,18.20,18.20,1000
APOT,19-Jan-2007,18.25,18.25,18.25,18.25,2000
APOT,22-Jan-2007,18.70,18.75,18.70,18.75,2000
APOT,16-Feb-2007,19.75,19.75,19.75,19.75,500
APOT,01-Mar-2007,19.00,19.00,19.00,19.00,500
APOT,13-Mar-2007,18.00,18.00,18.00,18.00,500
APOT,20-Mar-2007,18.50,18.70,18.50,18.70,1000
APOT,21-Mar-2007,18.70,18.70,18.70,18.70,500
APOT,27-Mar-2007,19.65,19.70,19.65,19.70,1000
APOT,16-Apr-2007,19.50,19.50,19.50,19.50,1000
APOT,20-Apr-2007,19.50,19.50,19.50,19.50,1000
APOT,25-Apr-2007,20.50,20.50,20.50,20.50,500
APOT,26-Apr-2007,21.50,21.50,21.50,21.50,1000
APOT,27-Apr-2007,22.00,22.00,22.00,22.00,500
APOT,24-May-2007,23.00,23.00,23.00,23.00,2000
APOT,25-May-2007,22.00,22.00,22.00,22.00,500
APOT,08-Jun-2007,21.90,21.90,21.90,21.90,500
APOT,12-Jun-2007,24.00,24.00,24.00,24.00,1000
APOT,13-Jun-2007,23.05,24.15,23.05,24.15,1500
APOT,14-Jun-2007,25.20,25.25,25.20,25.25,2000
APOT,08-Aug-2007,25.10,25.25,25.10,25.25,20000
APOT,18-Oct-2007,24.50,24.50,24.50,24.50,1000
APOT,28-Aug-2008,19.15,19.15,19.15,19.15,7000
APOT,07-Apr-2009,15.50,15.50,15.50,15.50,500
APOT,30-Jul-2009,9.00,9.00,9.00,9.00,200
APOT,04-Aug-2009,9.00,9.00,9.00,9.00,20
APOT,07-Aug-2009,9.00,9.00,9.00,9.00,378
APOT,12-Aug-2009,8.00,8.00,8.00,8.00,500
APOT,24-Sep-2009,5.50,5.50,5.50,5.50,100
APOT,25-Sep-2009,5.00,5.00,5.00,5.00,1000
APOT,28-Sep-2009,4.75,4.75,4.75,4.75,100
APOT,30-Sep-2009,4.75,4.75,4.75,4.75,100
APOT,02-Oct-2009,4.75,4.75,4.75,4.75,100
APOT,20-Oct-2009,5.00,5.00,5.00,5.00,200
APOT,30-Oct-2009,6.00,6.00,6.00,6.00,1
APOT,24-Dec-2009,6.00,6.00,6.00,6.00,100
APOT,04-Jan-2010,5.50,5.50,5.50,5.50,200
APOT,05-Jan-2010,5.00,5.00,5.00,5.00,300
APOT,31-Mar-2010,5.99,5.99,5.99,5.99,1
APOT,22-Apr-2010,4.99,4.99,4.99,4.99,10
APOT,23-Apr-2010,3.99,3.99,3.99,3.99,490
APOT,26-Apr-2010,3.25,3.25,3.25,3.25,400
APOT,03-May-2010,3.00,3.00,3.00,3.00,100
APOT,06-May-2010,3.74,3.75,3.74,3.75,500
APOT,27-May-2010,2.75,2.75,2.75,2.75,1
APOT,15-Jun-2010,3.49,3.75,3.49,3.68,676
APOT,18-Jun-2010,3.68,3.68,3.68,3.68,500
APOT,21-Jun-2010,2.68,2.68,2.68,2.68,100
APOT,22-Jun-2010,1.68,1.68,1.68,1.68,500
APOT,23-Jun-2010,1.50,1.50,1.50,1.50,800
APOT,28-Jun-2010,1.50,1.50,1.50,1.50,1500
APOT,04-Aug-2010,3.00,3.00,3.00,3.00,10
APOT,12-Oct-2010,4.00,4.00,3.10,3.10,1401
APOT,13-Oct-2010,3.99,3.99,3.99,3.99,1
APOT,01-Nov-2010,4.50,4.50,4.50,4.50,1000
APOT,20-Jan-2011,4.50,4.50,4.50,4.50,100
APOT,21-Jan-2011,5.50,5.50,5.50,5.50,10
APOT,24-Jan-2011,6.50,6.50,6.50,6.50,1
APOT,31-Jan-2011,5.50,5.50,5.50,5.50,500
APOT,02-Feb-2011,4.50,5.75,4.50,5.75,601
APOT,02-Mar-2011,5.00,5.75,5.00,5.75,101
APOT,24-Mar-2011,5.00,5.75,5.00,5.75,200
APOT,27-Apr-2011,5.75,5.75,5.75,5.75,200
APOT,11-May-2011,4.75,4.75,4.75,4.75,500
APOT,12-May-2011,4.75,4.75,4.75,4.75,500
APOT,10-Jun-2011,4.00,4.75,4.00,4.75,300
APOT,21-Jul-2011,3.75,4.75,3.75,4.75,10
APOT,10-Oct-2011,4.35,4.35,4.35,4.35,40
APOT,20-Feb-2012,5.00,5.00,4.00,4.00,1
APOT,08-May-2012,4.00,4.00,4.00,4.00,2
APOT,21-May-2012,4.00,4.00,4.00,4.00,198
APOT,29-May-2012,5.05,5.05,5.05,5.05,2389
APOT,14-Jun-2012,5.98,5.98,5.98,5.05,1
APOT,03-Oct-2012,5.05,5.05,5.05,5.05,500
APOT,16-Nov-2012,5.90,5.90,5.90,5.90,2000
APOT,19-Nov-2012,5.90,6.50,5.90,6.50,1000
APOT,20-Nov-2012,6.50,7.50,6.50,7.50,1000
APOT,21-Nov-2012,8.50,8.50,8.50,8.50,500
APOT,26-Nov-2012,9.53,9.53,9.53,9.53,500
APOT,28-Nov-2012,11.53,11.53,11.53,11.53,500
APOT,29-Nov-2012,12.53,12.53,12.53,12.53,1000
APOT,30-Nov-2012,12.53,12.53,12.53,12.53,500
APOT,03-Dec-2012,12.53,13.53,12.53,13.53,1500
APOT,04-Dec-2012,13.53,14.53,13.53,14.53,1500
APOT,05-Dec-2012,15.00,15.53,15.00,15.53,2000
APOT,06-Dec-2012,15.53,16.53,15.53,16.50,1500
APOT,07-Dec-2012,17.50,17.50,17.50,17.50,1000
APOT,10-Dec-2012,18.40,18.40,18.40,18.40,500
APOT,13-Dec-2012,17.40,17.40,17.40,17.40,500
APOT,14-Dec-2012,16.40,16.40,16.40,16.40,2000
APOT,19-Dec-2012,15.40,15.40,15.40,15.40,1000
APOT,21-Dec-2012,14.40,14.40,14.40,14.40,500
APOT,03-Jan-2013,13.50,13.50,13.50,13.50,500
APOT,20-Feb-2013,12.50,12.50,12.50,12.50,500
APOT,16-Apr-2013,11.49,11.49,11.49,11.49,1000
APOT,29-Apr-2013,12.49,12.49,12.49,12.49,1000
APOT,08-Jul-2013,12.85,12.85,12.85,12.49,500
APOT,10-Jul-2013,12.49,12.49,12.49,12.49,1000
APOT,29-Jul-2013,13.00,13.40,12.50,12.50,2000
APOT,30-Jul-2013,11.50,11.50,11.50,11.50,500
APOT,11-Oct-2013,12.50,12.50,12.50,12.50,500
APOT,23-Oct-2013,13.40,13.40,13.40,13.40,500
APOT,13-Nov-2013,10.60,10.60,10.60,10.60,500
APOT,19-Nov-2013,8.60,8.60,8.60,8.60,1000
APOT,26-Nov-2013,9.60,9.60,8.01,8.01,1000
APOT,27-Nov-2013,7.65,7.65,7.65,7.65,500
APOT,28-Nov-2013,7.05,7.05,7.05,7.05,500
APOT,29-Nov-2013,6.10,6.10,6.10,6.10,500
APOT,03-Dec-2013,5.95,5.95,5.95,5.95,500
APOT,04-Dec-2013,5.45,5.45,5.45,5.45,500
APOT,13-Dec-2013,10.41,10.41,10.41,10.41,500
APOT,18-Dec-2013,11.40,11.41,11.40,11.41,1000
APOT,20-Dec-2013,13.41,13.41,13.41,13.41,500
APOT,23-Dec-2013,14.41,14.41,14.41,14.41,500
APOT,24-Dec-2013,15.41,15.41,15.41,15.41,500
APOT,26-Dec-2013,16.41,16.41,16.41,16.41,1500
APOT,27-Dec-2013,17.39,17.41,15.45,15.60,5000
APOT,01-Jan-2014,16.56,16.56,16.56,16.56,2000
