Symbol,Date,Open,High,Low,Close,Volume
AQTM,01-Jan-2004,1.10,1.10,1.10,1.10,500
AQTM,13-Jan-2004,1.35,1.35,1.30,1.30,1000
AQTM,15-Jan-2004,1.55,1.55,1.55,1.55,500
AQTM,16-Jan-2004,1.80,1.80,1.80,1.80,1000
AQTM,19-Jan-2004,1.80,1.80,1.80,1.80,1000
AQTM,16-Feb-2004,2.25,2.25,2.25,2.25,1000
AQTM,18-Feb-2004,1.90,1.90,1.90,1.90,3000
AQTM,19-Feb-2004,1.90,1.90,1.90,1.90,2000
AQTM,20-Feb-2004,1.75,1.75,1.75,1.75,3000
AQTM,23-Feb-2004,1.55,1.55,1.55,1.55,500
AQTM,25-Feb-2004,2.00,2.00,2.00,2.00,1500
AQTM,03-Mar-2004,1.80,2.20,1.80,2.20,1500
AQTM,04-Mar-2004,2.25,2.60,2.25,2.60,3000
AQTM,05-Mar-2004,2.25,2.50,2.25,2.30,13000
AQTM,09-Mar-2004,2.15,2.15,2.15,2.15,500
AQTM,10-Mar-2004,2.25,2.50,2.20,2.35,13500
AQTM,11-Mar-2004,2.50,2.70,2.50,2.65,28000
AQTM,12-Mar-2004,2.70,2.70,2.70,2.70,10000
AQTM,15-Mar-2004,2.65,2.65,2.65,2.65,1000
AQTM,16-Mar-2004,2.70,2.85,2.70,2.80,15000
AQTM,17-Mar-2004,2.75,2.95,2.75,2.95,7000
AQTM,18-Mar-2004,2.95,3.00,2.95,3.00,18000
AQTM,19-Mar-2004,3.05,3.05,3.00,3.00,1500
AQTM,22-Mar-2004,3.00,3.00,2.75,3.00,4500
AQTM,24-Mar-2004,3.25,3.25,3.25,3.25,2000
AQTM,26-Mar-2004,3.00,3.00,3.00,3.00,500
AQTM,29-Mar-2004,2.60,2.75,2.60,2.75,11500
AQTM,30-Mar-2004,3.00,3.05,3.00,3.05,1500
AQTM,31-Mar-2004,2.80,2.80,2.70,2.70,6500
AQTM,02-Apr-2004,2.75,2.75,2.75,2.75,1000
AQTM,05-Apr-2004,2.85,2.85,2.85,2.85,500
AQTM,06-Apr-2004,2.95,2.95,2.95,2.95,3000
AQTM,07-Apr-2004,2.80,3.35,2.80,3.30,14500
AQTM,09-Apr-2004,2.75,2.75,2.75,2.75,2000
AQTM,12-Apr-2004,2.85,2.85,2.85,2.85,1000
AQTM,13-Apr-2004,2.90,2.90,2.90,2.90,1000
AQTM,14-Apr-2004,2.85,2.85,2.85,2.85,1000
AQTM,15-Apr-2004,3.00,3.00,3.00,3.00,6000
AQTM,19-Apr-2004,3.00,3.00,3.00,3.00,10000
AQTM,20-Apr-2004,3.10,3.30,3.10,3.30,4000
AQTM,21-Apr-2004,3.00,3.00,3.00,3.00,12000
AQTM,23-Apr-2004,2.80,2.80,2.80,2.80,2000
AQTM,29-Apr-2004,2.65,2.65,2.65,2.65,1500
AQTM,04-May-2004,3.50,3.50,3.50,3.50,1000
AQTM,14-May-2004,3.15,2.50,2.50,2.50,500
AQTM,17-May-2004,2.50,2.50,2.50,2.50,500
AQTM,24-May-2004,2.90,3.25,2.90,3.25,2000
AQTM,25-May-2004,3.25,3.40,3.25,3.25,7000
AQTM,26-May-2004,3.45,3.50,3.35,3.50,4000
AQTM,28-May-2004,3.35,3.35,3.35,3.35,5000
AQTM,31-May-2004,3.30,3.30,3.25,3.30,27500
AQTM,02-Jun-2004,3.00,3.10,3.00,3.10,1000
AQTM,10-Jun-2004,3.30,3.30,3.20,3.20,15000
AQTM,17-Jun-2004,3.65,3.95,3.35,3.40,19000
AQTM,18-Jun-2004,3.25,3.25,3.25,3.25,500
AQTM,22-Jun-2004,3.70,3.70,3.00,3.25,6000
AQTM,28-Jun-2004,3.70,3.70,3.70,3.70,500
AQTM,29-Jun-2004,3.35,3.35,3.25,3.25,1500
AQTM,06-Jul-2004,3.00,3.00,3.00,3.00,500
AQTM,22-Jul-2004,2.20,2.20,2.20,2.20,500
AQTM,26-Jul-2004,3.40,3.40,3.40,3.40,500
AQTM,18-Aug-2004,3.00,3.00,3.00,3.00,500
AQTM,27-Aug-2004,2.05,2.05,2.05,2.05,500
AQTM,01-Sep-2004,2.25,2.25,2.25,2.25,1500
AQTM,03-Sep-2004,2.30,2.30,2.30,2.30,1000
AQTM,08-Sep-2004,2.90,2.90,2.90,2.90,500
AQTM,09-Sep-2004,2.25,2.25,2.25,2.25,2000
AQTM,10-Sep-2004,2.20,2.20,2.20,2.20,500
AQTM,11-Oct-2004,2.50,2.50,2.50,2.50,10000
AQTM,13-Oct-2004,2.30,2.30,2.30,2.30,500
AQTM,19-Oct-2004,2.30,2.30,2.30,2.30,1500
AQTM,20-Oct-2004,2.90,2.90,2.90,2.90,1500
AQTM,28-Oct-2004,2.60,2.60,2.60,2.60,500
AQTM,29-Oct-2004,2.80,2.80,2.80,2.80,1500
AQTM,19-Nov-2004,2.25,2.25,2.25,2.25,500
AQTM,22-Nov-2004,2.25,2.25,2.25,2.25,500
AQTM,01-Dec-2004,2.50,2.60,2.50,2.60,1500
AQTM,03-Dec-2004,2.60,2.60,2.60,2.60,500
AQTM,06-Dec-2004,2.65,2.65,2.65,2.65,500
AQTM,08-Dec-2004,2.95,4.00,2.95,3.35,44000
AQTM,09-Dec-2004,3.30,3.30,3.00,3.00,6500
AQTM,10-Dec-2004,3.00,3.00,3.00,3.00,1000
AQTM,13-Dec-2004,3.05,3.10,3.00,3.10,5000
AQTM,14-Dec-2004,2.15,3.00,2.15,3.00,3000
AQTM,15-Dec-2004,3.00,3.05,3.00,3.05,4000
AQTM,16-Dec-2004,3.00,3.10,2.80,2.80,2500
AQTM,21-Dec-2004,2.80,2.80,2.80,2.80,1000
