Symbol,Date,Open,High,Low,Close,Volume
ARM,09-Jan-2007,12.00,12.00,12.00,12.00,2000
ARM,10-Jan-2007,13.00,13.00,13.00,13.00,4000
ARM,24-Jan-2007,12.00,12.00,12.00,12.00,1000
ARM,25-Jan-2007,11.00,11.00,11.00,11.00,1500
ARM,02-Feb-2007,10.00,12.00,10.00,12.00,1000
ARM,06-Feb-2007,12.00,13.00,12.00,13.00,1500
ARM,13-Feb-2007,13.75,13.95,13.75,13.95,1000
ARM,12-Mar-2007,11.00,11.00,11.00,11.00,500
ARM,13-Mar-2007,11.00,11.00,11.00,11.00,10000
ARM,13-Apr-2007,12.00,12.00,12.00,12.00,500
ARM,17-Apr-2007,11.10,11.10,11.10,11.10,500
ARM,19-Apr-2007,11.50,11.50,11.50,11.50,185000
ARM,04-Jul-2007,10.50,10.50,10.50,10.50,1000
ARM,02-Aug-2007,11.00,11.00,11.00,11.00,3000
ARM,05-Oct-2007,11.00,11.00,11.00,11.00,500
ARM,14-Nov-2007,15.00,15.05,15.00,15.05,500
ARM,29-Jan-2008,17.10,17.10,17.10,17.10,5000
ARM,04-Feb-2008,18.10,18.10,18.10,18.10,1000
ARM,08-Feb-2008,18.10,18.10,18.10,18.10,5000
ARM,14-Feb-2008,19.10,19.10,19.10,19.10,2000
ARM,15-Feb-2008,18.25,20.10,18.25,20.10,1500
ARM,22-Feb-2008,20.25,20.25,20.25,20.25,1000
ARM,29-Feb-2008,19.30,19.30,19.25,19.25,2000
ARM,04-Mar-2008,19.10,19.25,19.10,19.25,4000
ARM,05-Mar-2008,19.70,19.90,19.70,19.90,4000
ARM,10-Mar-2008,20.50,20.50,20.50,20.50,1000
ARM,11-Mar-2008,21.50,21.50,21.50,21.50,1000
ARM,12-Mar-2008,22.50,22.50,22.50,22.50,1000
ARM,14-Mar-2008,22.80,23.60,22.80,23.60,1500
ARM,31-Mar-2008,22.45,22.45,22.45,22.45,500
ARM,02-Apr-2008,23.25,23.25,23.25,23.25,1000
ARM,03-Apr-2008,24.40,24.40,24.40,24.40,1000
ARM,29-Apr-2008,24.00,25.60,24.00,25.60,3500
ARM,30-Apr-2008,25.20,25.20,25.20,25.20,1000
ARM,06-May-2008,25.50,26.00,25.50,26.00,2500
ARM,07-May-2008,26.20,26.20,26.20,26.20,500
ARM,08-May-2008,25.25,26.50,25.25,26.50,1500
ARM,15-May-2008,27.00,27.00,27.00,27.00,500
ARM,16-May-2008,28.00,28.35,28.00,28.35,1500
ARM,19-May-2008,28.00,28.00,28.00,28.00,1500
ARM,20-May-2008,29.25,29.25,29.25,29.25,1500
ARM,28-May-2008,27.80,30.71,27.79,30.71,1500
ARM,30-May-2008,29.18,29.18,29.18,29.18,500
ARM,05-Jun-2008,30.60,30.60,30.60,30.60,500
ARM,06-Jun-2008,32.12,32.12,32.12,32.12,500
ARM,11-Jun-2008,33.00,33.00,33.00,33.00,500
ARM,12-Jun-2008,34.64,34.64,34.64,34.64,500
ARM,13-Jun-2008,36.37,36.37,36.00,36.00,1000
ARM,17-Dec-2008,22.33,22.33,22.33,22.33,500
ARM,20-Mar-2009,14.16,14.16,14.16,14.16,2000
ARM,24-Mar-2009,13.16,14.99,13.16,14.99,1000
ARM,07-Apr-2009,14.55,14.55,14.50,14.50,1500
ARM,10-Apr-2009,14.25,14.25,14.25,14.25,1000
ARM,13-Apr-2009,14.61,14.61,14.50,14.50,2500
ARM,24-Apr-2009,14.50,14.50,14.50,14.50,1000
ARM,27-Apr-2009,14.00,14.00,14.00,14.00,500
ARM,04-May-2009,13.00,13.00,13.00,13.00,500
ARM,05-May-2009,12.51,12.51,12.51,12.51,500
ARM,18-May-2009,14.01,14.01,12.50,13.50,7500
ARM,22-May-2009,12.76,12.80,12.76,12.80,1500
ARM,17-Jun-2009,13.74,13.74,13.74,13.74,5000
ARM,09-Jul-2009,13.00,13.00,13.00,13.00,500
ARM,10-Jul-2009,12.50,12.50,12.50,12.50,5000
ARM,16-Jul-2009,13.25,13.25,12.75,12.83,6000
ARM,17-Jul-2009,12.75,12.75,12.75,12.75,2000
ARM,21-Jul-2009,12.75,12.75,12.75,12.75,399
ARM,31-Jul-2009,12.10,12.10,12.10,12.10,500
ARM,04-Aug-2009,12.90,12.90,12.90,12.90,100
ARM,07-Aug-2009,13.25,13.75,13.25,13.70,7200
ARM,12-Aug-2009,14.00,14.00,14.00,14.00,1
ARM,21-Aug-2009,13.75,13.75,13.75,13.75,100
ARM,24-Aug-2009,14.00,14.00,14.00,14.00,501
ARM,03-Sep-2009,14.50,14.50,14.50,14.50,2
ARM,09-Sep-2009,13.50,13.50,13.50,13.50,1000
ARM,16-Sep-2009,13.50,13.50,13.50,13.50,200
ARM,18-Sep-2009,12.50,13.00,12.50,13.00,200
ARM,25-Sep-2009,13.90,14.00,13.90,13.92,2500
ARM,29-Sep-2009,13.50,14.79,13.50,14.53,5500
ARM,30-Sep-2009,14.10,14.10,14.10,14.10,2000
ARM,01-Oct-2009,14.45,14.45,14.45,14.45,501
ARM,02-Oct-2009,14.49,14.49,13.75,13.75,2801
ARM,05-Oct-2009,14.25,14.25,14.24,14.24,400
ARM,06-Oct-2009,14.24,14.24,14.24,14.24,1
ARM,07-Oct-2009,14.00,14.00,13.76,13.94,1300
ARM,12-Oct-2009,14.00,14.00,14.00,14.00,1000
ARM,13-Oct-2009,14.00,14.00,13.80,13.80,501
ARM,14-Oct-2009,14.00,14.00,14.00,14.00,898
ARM,15-Oct-2009,14.49,14.49,14.49,14.49,1
ARM,16-Oct-2009,14.89,14.89,14.89,14.89,1
ARM,20-Oct-2009,14.47,14.47,14.47,14.47,1
ARM,21-Oct-2009,14.25,14.25,14.25,14.25,1
ARM,22-Oct-2009,14.75,14.75,14.50,14.50,2001
ARM,23-Oct-2009,13.40,13.40,13.40,13.40,2
ARM,26-Oct-2009,14.00,14.00,14.00,14.00,1
ARM,27-Oct-2009,14.50,14.90,14.50,14.90,3500
ARM,28-Oct-2009,15.90,15.90,14.90,14.93,13500
ARM,29-Oct-2009,14.00,14.00,14.00,14.00,1000
ARM,30-Oct-2009,14.50,14.50,14.50,14.50,3
ARM,02-Nov-2009,14.90,14.90,14.88,14.88,1
ARM,03-Nov-2009,14.88,14.88,14.80,14.80,10000
ARM,04-Nov-2009,14.80,14.80,14.80,14.80,1401
ARM,05-Nov-2009,14.80,14.80,14.80,14.80,1
ARM,06-Nov-2009,14.75,14.75,14.75,14.75,1
ARM,10-Nov-2009,14.85,14.85,14.84,14.84,1
ARM,12-Nov-2009,14.84,14.84,13.85,14.79,9001
ARM,01-Dec-2009,14.50,14.50,14.50,14.50,1000
ARM,03-Dec-2009,14.80,14.80,14.80,14.80,2597
ARM,04-Dec-2009,14.78,14.78,14.78,14.78,103
ARM,09-Dec-2009,14.01,14.01,14.00,14.00,2000
ARM,16-Dec-2009,14.00,14.00,14.00,14.00,200
ARM,22-Dec-2009,14.84,14.84,14.84,14.84,22
ARM,19-Jan-2010,14.85,14.85,14.85,14.85,2999
ARM,25-Jan-2010,14.60,15.20,14.60,15.18,30
ARM,27-Jan-2010,14.95,14.95,14.95,14.95,2400
ARM,01-Feb-2010,14.90,14.90,14.90,14.90,2500
ARM,23-Feb-2010,14.78,14.78,14.78,14.78,2500
ARM,05-Mar-2010,14.78,14.78,14.78,14.78,500
ARM,24-Mar-2010,15.50,15.50,15.50,15.50,1000
ARM,01-Apr-2010,15.00,15.00,15.00,15.00,500
ARM,12-Apr-2010,15.79,16.00,15.45,15.47,3485
ARM,15-Apr-2010,15.00,15.01,15.00,15.01,397
ARM,16-Apr-2010,15.00,15.00,15.00,15.00,500
ARM,23-Apr-2010,15.75,15.75,15.75,15.75,1000
ARM,26-Apr-2010,15.10,15.40,15.10,15.40,2014
ARM,06-May-2010,16.00,16.00,16.00,16.00,50
ARM,18-May-2010,15.50,15.50,15.50,15.50,10
ARM,04-Jun-2010,15.00,15.00,15.00,15.00,1
ARM,23-Jul-2010,16.00,16.00,16.00,16.00,1
ARM,16-Aug-2010,14.20,14.20,14.20,14.20,1000
ARM,18-Aug-2010,14.00,14.00,13.50,14.00,8000
ARM,19-Aug-2010,13.00,13.00,13.00,13.00,2500
ARM,20-Aug-2010,13.50,13.50,13.50,13.50,5000
ARM,23-Aug-2010,12.50,12.75,12.50,12.75,4000
ARM,24-Aug-2010,12.75,12.80,12.75,12.80,3500
ARM,31-Aug-2010,13.75,13.75,13.75,13.75,4500
ARM,01-Sep-2010,13.50,13.50,13.50,13.50,500
ARM,06-Sep-2010,14.25,14.25,14.25,14.25,3
ARM,09-Sep-2010,14.50,14.50,14.50,14.50,1000
ARM,14-Sep-2010,14.75,14.75,14.75,14.75,47
ARM,15-Sep-2010,14.95,15.00,14.95,14.98,1250
ARM,16-Sep-2010,15.00,15.00,15.00,15.00,100
ARM,17-Sep-2010,15.00,15.00,15.00,15.00,50
ARM,20-Sep-2010,15.25,15.25,15.25,15.25,350
ARM,21-Sep-2010,15.50,16.23,15.50,15.50,3500
ARM,22-Sep-2010,16.00,16.00,16.00,16.00,1000
ARM,23-Sep-2010,15.60,15.60,15.60,15.60,5000
ARM,24-Sep-2010,16.60,16.60,16.60,16.60,1
ARM,27-Sep-2010,17.00,17.00,15.75,15.75,1200
ARM,28-Sep-2010,14.75,15.10,14.75,15.10,499
ARM,06-Oct-2010,15.95,15.95,15.95,15.95,1
ARM,13-Oct-2010,16.00,16.00,16.00,16.00,284
ARM,14-Oct-2010,16.00,16.00,16.00,16.00,1000
ARM,22-Oct-2010,14.50,14.50,14.50,14.50,10
ARM,26-Oct-2010,14.90,14.90,14.90,14.90,1
ARM,27-Oct-2010,14.50,14.50,14.50,14.50,100
ARM,04-Nov-2010,14.50,14.90,14.50,14.90,51
ARM,10-Nov-2010,14.50,14.50,14.50,14.50,50
ARM,15-Nov-2010,14.90,14.90,14.90,14.90,500
ARM,16-Nov-2010,14.50,14.50,14.50,14.50,1000
ARM,02-Dec-2010,15.50,15.50,15.50,15.50,11000
ARM,03-Dec-2010,15.10,15.50,15.10,15.20,2600
ARM,06-Dec-2010,15.10,15.10,14.50,14.50,174900
ARM,30-Dec-2010,15.00,15.00,15.00,15.00,500
ARM,03-Jan-2011,15.90,15.90,15.90,15.90,1000
