Symbol,Date,Open,High,Low,Close,Volume
ARPAK,10-Feb-2003,6.00,6.00,6.00,6.00,1500
ARPAK,19-Feb-2003,5.00,5.00,5.00,5.00,1000
ARPAK,14-May-2003,6.50,6.50,6.50,6.50,1000
ARPAK,09-Jun-2003,8.00,8.00,8.00,8.00,3000
ARPAK,17-Jun-2003,8.90,8.90,8.50,8.50,1500
ARPAK,18-Jun-2003,9.20,9.20,9.20,9.20,500
ARPAK,03-Jul-2003,9.50,9.50,9.50,9.50,500
ARPAK,11-Jul-2003,9.50,9.50,9.50,9.50,1000
ARPAK,14-Jul-2003,9.50,9.50,9.50,9.50,1000
ARPAK,25-Jul-2003,10.00,10.00,10.00,10.00,1500
ARPAK,28-Jul-2003,10.00,10.00,10.00,10.00,1000
ARPAK,29-Jul-2003,10.00,10.00,10.00,10.00,500
ARPAK,25-Aug-2003,10.00,10.00,9.00,9.00,1000
ARPAK,28-Aug-2003,8.50,8.50,8.50,8.50,1000
ARPAK,29-Aug-2003,8.50,8.50,8.50,8.50,2000
ARPAK,01-Sep-2003,8.50,8.70,8.50,8.70,3500
ARPAK,03-Sep-2003,9.00,10.00,9.00,9.00,3000
ARPAK,11-Sep-2003,9.95,11.50,9.95,11.50,1000
ARPAK,09-Dec-2003,8.00,8.00,8.00,8.00,1000
ARPAK,10-Dec-2003,9.00,9.00,9.00,9.00,500
ARPAK,18-Dec-2003,8.50,8.50,8.50,8.50,1500
ARPAK,19-Dec-2003,9.00,9.00,9.00,9.00,500
ARPAK,01-Jan-2004,8.75,8.75,8.75,8.75,2500
ARPAK,02-Jan-2004,8.00,8.00,8.00,8.00,2500
ARPAK,07-Jan-2004,10.50,10.50,10.50,10.50,500
ARPAK,14-Jan-2004,12.00,12.00,12.00,12.00,500
ARPAK,15-Jan-2004,11.75,12.00,11.75,12.00,2000
ARPAK,20-Jan-2004,12.00,12.00,12.00,12.00,1000
ARPAK,21-Jan-2004,12.50,12.50,12.50,12.50,1000
ARPAK,22-Jan-2004,12.50,12.50,12.50,12.50,1000
ARPAK,23-Jan-2004,12.50,12.50,12.50,12.50,1000
ARPAK,26-Jan-2004,12.50,12.50,12.50,12.50,500
ARPAK,17-Feb-2004,12.50,12.50,12.50,12.50,10000
ARPAK,23-Feb-2004,14.00,14.00,14.00,13.00,500
ARPAK,05-Mar-2004,17.00,17.00,17.00,17.00,500
ARPAK,08-Mar-2004,18.00,18.50,17.00,17.00,1500
ARPAK,19-Mar-2004,18.00,18.00,18.00,17.00,2500
ARPAK,01-Apr-2004,16.80,16.80,16.80,16.80,500
ARPAK,19-May-2004,15.50,15.50,15.50,15.50,2000
ARPAK,27-May-2004,17.00,17.00,17.00,17.00,1000
ARPAK,28-May-2004,16.50,16.50,16.50,16.50,1000
ARPAK,01-Jun-2004,17.50,17.50,17.50,17.50,500
ARPAK,23-Jun-2004,17.50,17.50,16.20,16.20,1000
ARPAK,16-Jul-2004,10.00,10.00,10.00,10.00,500
ARPAK,26-Jul-2004,9.15,9.15,9.10,9.10,1500
ARPAK,26-Aug-2004,8.25,9.25,8.25,9.25,1000
ARPAK,07-Oct-2004,9.00,9.00,9.00,9.00,500
ARPAK,12-Oct-2004,8.00,8.00,8.00,8.00,5000
ARPAK,21-Oct-2004,7.50,7.50,7.50,7.50,1000
ARPAK,24-Nov-2004,8.20,8.20,8.20,8.20,1000
ARPAK,08-Dec-2004,9.70,9.70,9.65,9.70,4000
ARPAK,09-Dec-2004,11.20,11.20,11.20,11.20,500
ARPAK,21-Dec-2004,10.50,10.50,10.50,10.50,1000
ARPAK,27-Dec-2004,9.50,9.50,9.50,9.50,500
ARPAK,28-Dec-2004,11.00,11.00,11.00,11.00,500
ARPAK,29-Dec-2004,12.50,12.50,12.50,12.50,500
ARPAK,05-Jan-2005,11.50,11.50,11.50,11.50,500
ARPAK,06-Jan-2005,12.85,13.00,12.85,13.00,2500
ARPAK,12-Jan-2005,13.00,14.50,13.00,14.50,2000
ARPAK,19-Jan-2005,16.00,16.00,16.00,16.00,500
ARPAK,24-Jan-2005,17.00,17.00,17.00,17.00,500
ARPAK,26-Jan-2005,17.00,17.00,17.00,17.00,500
ARPAK,02-Mar-2005,16.00,16.00,16.00,16.00,500
ARPAK,30-Sep-2005,10.00,10.00,10.00,10.00,500
ARPAK,13-Oct-2005,8.50,8.50,8.50,8.50,500
ARPAK,14-Oct-2005,8.50,8.50,8.50,8.50,500
ARPAK,02-Nov-2005,8.50,8.50,8.50,8.50,500
ARPAK,09-Dec-2005,9.80,9.80,9.80,9.80,500
ARPAK,12-Dec-2005,10.80,10.80,10.80,10.80,1000
