Symbol,Date,Open,High,Low,Close,Volume
ARPL,29-Dec-2003,138.00,138.00,138.00,138.00,200
ARPL,01-Jan-2004,140.00,140.00,138.00,139.00,3100
ARPL,02-Jan-2004,142.00,142.00,142.00,142.00,300
ARPL,05-Jan-2004,137.00,137.00,137.00,137.00,400
ARPL,06-Jan-2004,137.00,139.00,137.00,139.00,1000
ARPL,07-Jan-2004,142.00,145.00,142.00,144.75,3200
ARPL,08-Jan-2004,148.00,149.00,146.00,146.00,3000
ARPL,09-Jan-2004,149.00,149.00,145.00,147.00,1300
ARPL,12-Jan-2004,149.50,149.50,145.00,145.00,600
ARPL,13-Jan-2004,145.00,148.00,145.00,148.00,1100
ARPL,14-Jan-2004,147.00,147.00,145.00,147.00,1000
ARPL,15-Jan-2004,146.00,147.00,146.00,146.00,600
ARPL,16-Jan-2004,148.00,148.00,147.50,147.50,1100
ARPL,19-Jan-2004,148.00,148.00,147.50,147.50,1100
ARPL,20-Jan-2004,147.50,151.00,145.00,145.00,3200
ARPL,22-Jan-2004,150.00,150.00,137.75,137.75,6400
ARPL,23-Jan-2004,135.00,140.00,130.90,134.00,18800
ARPL,26-Jan-2004,131.25,136.00,131.00,136.00,1200
ARPL,27-Jan-2004,136.90,136.90,134.00,134.00,1300
ARPL,28-Jan-2004,136.90,136.90,134.00,134.00,1300
ARPL,29-Jan-2004,136.00,136.75,136.00,136.75,500
ARPL,30-Jan-2004,135.00,138.00,135.00,138.00,2100
ARPL,06-Feb-2004,133.00,135.00,133.00,135.00,600
ARPL,09-Feb-2004,135.10,137.10,135.00,136.00,7300
ARPL,10-Feb-2004,135.00,135.00,134.00,134.00,3000
ARPL,11-Feb-2004,134.00,134.00,133.00,133.00,1000
ARPL,12-Feb-2004,131.00,133.90,130.00,133.90,2200
ARPL,13-Feb-2004,133.75,137.00,133.75,137.00,1900
ARPL,16-Feb-2004,137.00,137.00,137.00,137.00,400
ARPL,17-Feb-2004,136.00,136.00,136.00,136.00,300
ARPL,18-Feb-2004,137.00,138.00,137.00,137.00,2500
ARPL,19-Feb-2004,137.00,138.00,137.00,137.00,2100
